,Collection_Name,Category_Art,Category_Collectibles,Category_Domain Names,Category_Music,Category_Photography,Category_Sports,Category_Trading Cards,Category_Utility,Category_Virtual Worlds,Items,Owners,Floor_Price,Twitter_Page_Followers,Twitter_Page_Following,Twitter_Page_Is_Verified,Twitter_Page_Creation_Date,Max_Twitter_Retweets,Max_Twitter_Replies,Max_Twitter_Likes,Max_Twitter_Quotes,Collection_Creation_Date,Collection_30_Day_Volume,Collection_Listing_Status,Collection_Traits_count
92,Abstract Nouns,0,1,0,0,0,0,0,0,0,94,58.0,0.05,326.0,37.0,False,08/23/2021,8,12,159,3,2021-08-19,0.15,not_requested,0.0
93,Abstract Solar System,0,1,0,0,0,0,0,0,0,11,57.0,0.002,38856.0,8290.0,False,08/28/2021,66,950,589,5,2021-09-04,0.0289059999999999,not_requested,0.0
94,Abstract Space Art AI,1,0,0,0,0,0,0,0,0,20,4.0,0.003,27.0,45.0,False,05/12/2019,1,1,6,0,2021-10-27,0.0025,not_requested,0.0
95,Abstract artworks by Schelle Jpeg,1,0,0,0,0,0,0,0,0,18,9.0,0.05,1688.0,2146.0,False,11/30/2013,5,13,20,1,2021-09-07,0.15,not_requested,11.0
96,Abstract brushstrokes by Schelle Jpeg,1,0,0,0,0,0,0,0,0,3,2.0,0.025,1688.0,2146.0,False,11/30/2013,5,13,20,1,2021-11-11,0.0095,not_requested,6.0
97,Abstraction Art Collection,1,0,0,0,0,0,0,0,0,7,2.0,0.05,84.0,699.0,False,04/07/2021,2,1,5,1,2021-04-04,0.05,approved,0.0
98,Absurd Arboretum,0,1,0,0,0,0,0,0,0,2800,950.0,0.025,2912.0,83.0,False,05/23/2021,53,57,73,12,2021-06-29,1.0159600100100004,verified,213.0
99,Absurd Arboretum - BONFIRE Festival,0,1,0,0,0,0,0,0,0,597,288.0,0.02,2912.0,83.0,False,05/23/2021,53,57,73,12,2021-09-02,0.02,not_requested,7.0
100,Abu Crypto NFT,1,0,0,0,0,0,0,0,0,2500,461.0,0.01,22129.0,811.0,False,09/17/2021,20,21,33,4,2021-11-01,4.017479999999998,not_requested,206.0
101,Abusamenta_21,1,0,0,0,0,0,0,0,0,21,3.0,0.003,163.0,487.0,False,03/25/2021,3,4,19,1,2021-09-19,0.002,not_requested,0.0
102,Accessory storage,0,0,0,0,0,0,0,1,0,7,124.0,0.001,1523.0,2204.0,False,09/26/2021,1,3,23,1,2021-10-20,0.02,not_requested,7.0
103,Acidgirls,1,0,0,0,0,0,0,0,0,62,37.0,0.042,2638.0,1161.0,False,09/10/2021,106,102,158,9,2021-09-09,0.7110000000000002,not_requested,31.0
104,Acidhatmat - Disorder Collection,1,0,0,0,0,0,0,0,0,8,2.0,0.04,290.0,601.0,False,05/26/2021,2,7,25,0,2021-09-11,0.06,not_requested,0.0
105,Acolytes,0,1,0,0,0,0,0,0,0,152,54.0,0.06,1349.0,719.0,False,07/04/2021,72,80,80,4,2021-07-06,0.3399999,not_requested,255.0
106,Acoustic Music - Rino Tirri,0,0,0,1,0,0,0,0,0,7,3.0,0.098,50.0,42.0,False,02/18/2019,34,9,13,1,2021-08-22,0.006,not_requested,21.0
107,Acquisition Royale,0,1,0,0,0,0,0,0,0,2100,1600.0,0.003,11226.0,65.0,False,10/14/2021,7472,139,7669,683,2021-10-28,0.175917,not_requested,0.0
108,Acquisition Royale Consumables,0,0,0,0,0,0,0,1,0,3,656.0,0.1,11226.0,65.0,False,10/14/2021,7472,139,7669,683,2021-10-26,0.065,not_requested,0.0
109,Actor Punks,0,1,0,0,0,0,0,0,0,251,25.0,0.03,1611.0,3266.0,False,10/11/2021,2,1,6,2,2021-10-31,1.0023000000000006,not_requested,0.0
110,Adam Bomb Squad,0,1,0,0,0,0,0,0,0,25000,8300.0,0.33,33113.0,31.0,True,07/07/2021,33,59,216,7,2021-08-27,991.0147014224268,verified,892.0
111,Adam Hoffman Fine Art Fractals,1,0,0,0,0,0,0,0,0,22,245.0,0.001,72.0,16.0,False,12/29/2017,4,4,15,6,2021-03-23,0.2015,not_requested,0.0
112,Adam Lister Studio,1,0,0,0,0,0,0,0,0,1000,285.0,0.022,1610.0,935.0,False,10/10/2010,14,15,38,3,2021-09-01,0.8039000000000002,not_requested,0.0
113,Adapting Elements,0,0,0,0,1,0,0,0,0,50,15.0,0.15,5038.0,917.0,False,03/25/2021,50,41,472,8,2021-10-01,0.9,not_requested,0.0
114,Ade's Press (2),1,0,0,0,0,0,0,0,0,26,3.0,0.006,324.0,896.0,False,11/14/2009,2,3,9,4,2021-09-25,0.008,not_requested,41.0
115,Ade's Press (Polygon),1,0,0,0,0,0,0,0,0,7,2.0,0.04,324.0,896.0,False,11/14/2009,2,3,9,4,2021-11-12,0.02,not_requested,7.0
116,Adofo-X,0,0,0,0,0,0,0,1,0,976,418.0,0.17,1193.0,69.0,False,09/23/2021,186,176,222,6,2021-09-24,89.08337999999998,approved,76.0
117,Adult Fantasy: Season 1,0,1,0,0,0,0,0,0,0,2200,422.0,0.049,1132.0,412.0,False,05/04/2021,15,9,33,10,2021-12-05,14.1508,not_requested,117.0
118,Adventure of Pepe,1,0,0,0,0,0,0,0,0,5,2.0,0.1,850.0,1175.0,False,10/09/2013,1,5,13,1,2021-12-14,0.48,not_requested,0.0
119,Aerial Aesthetics,1,0,0,0,0,0,0,0,0,22,3.0,0.15,17097.0,333.0,False,07/16/2008,5,7,39,1,2021-11-28,0.25,not_requested,0.0
120,Aerial Art by CA From The Sky,0,0,0,0,1,0,0,0,0,50,37.0,0.15,2248.0,1378.0,False,08/20/2021,5,15,45,4,2021-08-16,1.0,not_requested,0.0
121,Aerial Dreamscapes,0,0,0,0,1,0,0,0,0,40,34.0,0.2,11823.0,1090.0,False,06/10/2021,3,2,60,0,2021-08-24,0.15,not_requested,0.0
122,Aerial Loops by Dennis Schmelz,1,0,0,0,0,0,0,0,0,10,4.0,0.2,813.0,2329.0,False,11/28/2020,4,5,38,3,2021-10-24,0.6000000000000001,not_requested,27.0
123,Aerial Variance,0,0,0,0,1,0,0,0,0,50,8.0,0.07,2248.0,1378.0,False,08/20/2021,5,15,45,4,2021-11-27,0.5700000000000001,not_requested,0.0
124,Aeriinim,1,0,0,0,0,0,0,0,0,435,2600.0,0.001,5821.0,6391.0,False,07/29/2021,200,207,230,22,2021-07-23,0.1144048430619899,not_requested,117.0
125,Aether,0,0,0,0,0,0,0,0,1,788,328.0,0.69,1862.0,10.0,False,09/03/2021,81,85,136,15,2019-04-26,108.69889999999997,verified,156.0
126,Aethir Wars,1,0,0,0,0,0,0,0,0,580,160.0,0.05,592.0,601.0,False,07/22/2021,24,27,28,6,2021-06-01,0.24,approved,487.0
127,Affe mit Waffe,0,1,0,0,0,0,0,0,0,92,67.0,8.0,20195.0,135.0,False,08/20/2019,20,18,81,3,2021-08-30,84.05454854457373,approved,266.0
128,African people,1,0,0,0,0,0,0,0,0,27,14.0,0.001,24.0,297.0,False,11/03/2021,1,2,6,1,2021-10-11,0.005,not_requested,0.0
129,Afro Cosmic Spirit Dancer,1,0,0,0,0,0,0,0,0,4,3.0,0.008,965.0,653.0,False,08/22/2018,5,2,17,1,2021-12-12,0.0185,not_requested,0.0
130,Afro-renaissance,1,0,0,0,0,0,0,0,0,10,2.0,1.0,533.0,857.0,False,05/14/2012,9,5,43,2,2021-04-19,1.5,approved,18.0
131,AfroDroids By Owo,0,1,0,0,0,0,0,0,0,12100,3600.0,0.01,7606.0,1.0,False,08/06/2021,200,182,215,14,2021-09-01,2.906599999999996,verified,305.0
132,Afrodroid Legends,1,0,0,0,0,0,0,0,0,14,34.0,0.025,285.0,52.0,False,05/01/2021,22,32,125,4,2021-09-24,0.35,not_requested,19.0
133,Afromask,1,0,0,0,0,0,0,0,0,102,68.0,0.6,1445.0,413.0,False,10/25/2015,47,14,329,4,2021-09-23,0.201,not_requested,28.0
134,Afterlife ID,0,1,0,0,0,0,0,0,0,1300,660.0,0.03,3928.0,254.0,False,09/07/2021,35,31,108,3,2021-10-15,1.1581,not_requested,108.0
135,Age of Empires NFT,0,1,0,0,0,0,0,0,0,109,29.0,0.01,105.0,10.0,False,12/25/2021,3,2,14,3,2021-05-13,0.365,not_requested,0.0
136,Agent1,1,0,0,0,0,0,0,0,0,4500,939.0,0.018,1853.0,173.0,False,09/20/2021,29,20,56,10,2021-10-16,1.3470566666666672,not_requested,11.0
137,Aging Crypto Buddha,1,0,0,0,0,0,0,0,0,27,22.0,0.03,998.0,402.0,False,09/30/2021,7,5,22,2,2021-10-17,0.11,not_requested,0.0
138,Ai Primates,0,1,0,0,0,0,0,0,0,850,265.0,0.008,1281.0,0.0,False,11/27/2021,0,0,1,0,2021-09-15,0.337178999669,not_requested,0.0
139,AiAvatars,0,1,0,0,0,0,0,0,0,418,294.0,0.005,1327.0,345.0,False,11/13/2021,85,41,80,9,2021-11-14,0.4525,not_requested,0.0
140,AiCandy,1,0,0,0,0,0,0,0,0,273,103.0,0.015,717.0,1980.0,False,09/25/2021,14,9,43,3,2021-09-25,0.40689999,approved,53.0
141,AichakoB SIMPLE DESIGN,1,0,0,0,0,0,0,0,0,27,4.0,0.007,58.0,342.0,False,02/18/2021,1,10,8,3,2021-09-29,0.024,not_requested,0.0
142,Ain't no sunshine by Nadine Sieber - A moody Street Photography Collection,1,0,0,0,0,0,0,0,0,32,8.0,0.077,1005.0,278.0,False,06/23/2021,21,6,125,3,2021-10-14,0.616,not_requested,11.0
143,Air Jordan 1 *,0,0,0,0,0,0,1,0,0,149,1.0,0.023,48.0,31.0,False,03/02/2011,1,1,12,1,2021-11-18,0.023,not_requested,160.0
144,AirDoddyNFT Collection,0,0,0,0,1,0,0,0,0,3,2.0,0.15,491.0,904.0,False,10/08/2010,3,4,13,1,2021-11-04,0.25,not_requested,7.0
145,Airbits,0,1,0,0,0,0,0,0,0,165,111.0,0.3,6378.0,389.0,False,11/22/2020,9,7,76,6,2021-12-12,16.745,not_requested,69.0
146,Aircoins Metaverse,0,0,0,0,0,0,0,1,0,812,209.0,0.1,38044.0,300.0,False,01/07/2018,682,438,1255,250,2021-10-23,0.5780000000000001,not_requested,3.0
147,Akane's Toy Store,0,1,0,0,0,0,0,0,0,6,25.0,0.005,632.0,182.0,False,10/06/2017,5,3,13,2,2021-11-29,0.01,not_requested,3.0
148,Akatsuki_NFTs,0,1,0,0,0,0,0,0,0,10,2.0,0.025,11.0,0.0,False,12/13/2021,4,4,10,5,2021-11-01,0.012,not_requested,0.0
149,Alatelecoin Airdrop Eligible Pass,0,0,0,0,0,0,0,1,0,10000,9900.0,0.001,708.0,177.0,False,10/08/2020,1,5,4,0,2021-08-08,0.3313099999999991,not_requested,0.0
150,Alchemist Crucible v1,0,0,0,0,0,0,0,1,0,9700,8000.0,0.029,2697.0,11.0,False,08/05/2021,73,67,303,36,2021-02-18,0.5567900000000001,not_requested,0.0
151,Alejandro & Taylor - Mirage Gallery,1,0,0,0,0,0,0,0,0,128,68.0,0.35,1113.0,10.0,False,05/12/2021,34,37,138,7,2021-01-31,7.43411088693268,approved,0.0
