,Collection_Name,Category_Art,Category_Collectibles,Category_Domain Names,Category_Music,Category_Photography,Category_Sports,Category_Trading Cards,Category_Utility,Category_Virtual Worlds,Collections_Links,Items,Owners,Floor_Price,Twitter_Links
61,A Slime Appears,0,0,0,0,0,0,1,0,0,https://opensea.io/collection/a-slime-appears,178,223.0,0.001,https://www.twitter.com/Henry70657894
63,A Spark Of Light,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/a-spark-of-light,22,15.0,0.3,https://twitter.com/moodydarkroom
67,A Step Apart | NFT Short Film,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/nftshortfilm,320,13.0,0.01,https://www.twitter.com/nftshortfilm
69,A Symphony of Fog,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/symphonyoffog,50,41.0,0.45,https://www.twitter.com/codymayer22
71,A Trip To Peace,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/atriptopeace,13,5.0,0.02,https://twitter.com/Vans_Cmkro
73,A Unique Unicorn Christmas,0,0,0,0,0,0,0,1,0,https://opensea.io/collection/a-unique-unicorn-christmas,100,27.0,0.03,https://twitter.com/theblondebroker
77,A Walk on the Beach with Eloise Robbertze,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/awalkonthebeachwitheloiserobbertze,11,1.0,0.18,https://twitter.com/RobbertzeEloise
78,A Walk through The Colourless Mountains,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/a-walk-through-colourless-mountains,4,3.0,0.08,https://twitter.com/Art_via_lens
79,A Windy City by The Boca Libre,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/awindycitybythebocalibre,1,1.0,0.5,https://twitter.com/thebocalibre
80,A YEAR TO REMEMBER,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/a-year-to-remember,16,6.0,0.25,https://www.twitter.com/harrypopemedia
108,A rainbow day.,0,0,0,0,0,1,1,1,0,https://opensea.io/collection/a-rainbow-day,9,1.0,0.03,https://www.twitter.com/kapley1
114,A sunday in South Italy,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/a-sunday-in-south-italy,5,1.0,0.2,https://twitter.com/piggivalente
117,A tribute to Hua Lamphong in Monochrome,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/ode-to-hua-lamphong-in-bnw,20,15.0,0.25,https://twitter.com/NamrataV01
120,A wicked Agent,0,0,0,0,0,0,1,0,0,https://opensea.io/collection/awickedagent,13,1.0,0.009,https://www.twitter.com/awickedagent
125,A//D Film Lab,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/a--dfilmlab,10,9.0,0.1,https://twitter.com/AnalogRice
132,AAI 2G,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/aai-2g,4,2.0,0.002,https://www.twitter.com/aai_nft
141,ABCDJ x GAN,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/abcdj-x-gan,57,4.0,0.05,https://www.twitter.com/abcdjabcdjabcdj
144,ABNORMAL ENTITY,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/abnormalentity,59,26.0,0.333,https://twitter.com/Abnormal_Nft
147,ABRAXXAS,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/abraxxas,100,9.0,0.22,https://www.twitter.com/zlingerzlinger
149,ABSart ABSart,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/absart-mukhlis-kita-kita,116,28.0,0.002,https://twitter.com/absart6
150,ABTR - Chinese Zodiac,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/abtrchinesezodiac,12,1.0,0.03,https://twitter.com/TheCutter_5
154,ACEOFLA,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/aceofla,57,820.0,0.001,https://twitter.com/AceofLA
155,ACM CURRENT PLAYERS,0,0,0,0,0,1,0,0,0,https://opensea.io/collection/acm-current-players,10,1.0,0.025,https://www.twitter.com/GiovanniParrav2
156,ACM legends,0,0,0,0,0,1,0,0,0,https://opensea.io/collection/acm-mvb-001,6,1.0,0.02,https://www.twitter.com/@parrakyo
160,ACULSW,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/aculsw,17,2.0,0.25,https://twitter.com/acul_benji
161,AD ASTRA - To the Stars,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/ad-astra-tothestars,45,7.0,0.09,https://twitter.com/berizzed
164,ADAM X EGO,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/adamxego,1500,36.0,0.01,https://www.twitter.com/adamxego
166,ADD Generative Drawings,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/add-generative-drawings,363,137.0,0.24,https://twitter.com/Eltono
170,ADINFINITUM,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/adinfinitum-1,5,2.0,0.02,https://twitter.com/AlexFrancisFord
175,AESTHETICPAINTINGS,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/aesthetcpaintings,100,3.0,0.013,https://twitter.com/tcjsart
182,AFGANFT,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/afganft,72,4.0,0.028,https://www.twitter.com/officialsosnft
185,AFTER DAWN: Beyond META,0,0,0,0,0,0,0,1,0,https://opensea.io/collection/afterdawn-beyondmeta,9,3.0,0.023,https://www.twitter.com/phenomenalmark
191,AHMD,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/ahmd,5,1.0,0.1,https://twitter.com/Ahmd2002_
192,AI ART DESIGN CLUB (AADC),1,0,0,0,0,0,0,0,0,https://opensea.io/collection/aadc,99,2.0,0.01,https://twitter.com/TheAICreatorES
193,AI Angels NFT,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/ai-angels-nft,200,103.0,0.004,https://twitter.com/gavinSpadL
195,AI Art Animations - 4K 60 FPS,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/aidreams,55,24.0,0.02,https://www.twitter.com/@JW_Ai_Art
198,AI Arts Gallery,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/ai-arts-gallery,90,12.0,0.005,https://twitter.com/vishalraiFX
203,AI Fountain,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/ai-fountain,240,146.0,0.065,https://twitter.com/styleWishh
204,AI Fountain - Curated Remix,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/ai-fountain-curated-remix,34,19.0,0.14,https://www.twitter.com/stylewishh
206,AI Generated Art - Fluxuls,0,0,0,0,0,0,0,0,1,https://opensea.io/collection/fluxul,13,1.0,0.02,https://www.twitter.com/FluxulCo
207,AI Generated Art by #TIA,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/ai-art-by-tia,39,18.0,0.01,https://twitter.com/thomaaas_crypto
208,AI Generated Masks by #TIA,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/ai-gen-masks,11,5.0,0.07,https://twitter.com/thomaaas_crypto
210,AI Labyrinth,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/ailab,13,4.0,0.015,https://twitter.com/NFT_Samantha
212,AI Mazes 1st Edition,0,0,0,0,0,0,0,1,0,https://opensea.io/collection/ai-maze-generator,100,18.0,0.03,https://www.twitter.com/DiBlock6
214,AI PRETTIES,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/pretties,206,27.0,0.015,https://www.twitter.com/TravNastyART
215,AI Palette,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/ai-palette,22,5.0,0.05,https://twitter.com/KimayaNFT
216,AI Pixel Buddies,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/ai-pixel-buddies,1000,390.0,0.02,https://www.twitter.com/aipixelbuddies
218,AI Toadz,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/ai-toadz,19,13.0,1.0,https://www.twitter.com/haltakov
219,AI by GummyLSD,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/aibygummylsd,43,16.0,0.003,https://twitter.com/GummyLsd
221,AI perspective,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/aiperspective,105,6.0,0.001,https://twitter.com/nftaiart1
222,AI-GENERATED Golf Course,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/ai-generated-golf-course,3,2.0,0.1,https://twitter.com/ArtMyMap
228,AI42 Loops,1,1,0,0,0,0,0,0,0,https://opensea.io/collection/ai42-loops,5300,1800.0,0.01,https://www.twitter.com/Ai42Official
234,AIR22,0,0,0,0,0,0,0,1,0,https://opensea.io/collection/air22,6,97.0,0.29,https://www.twitter.com/axieretreat
236,AIRDROPERZ.PRIVE',0,0,0,0,0,0,0,1,0,https://opensea.io/collection/airdroperzprive,333,11.0,0.049,https://www.twitter.com/AirdroperzPrive?s=09
238,AIUWI,0,0,0,0,0,0,1,0,0,https://opensea.io/collection/aiuwi,16,2.0,0.1,https://www.twitter.com/hillylatron
239,AIplay [Polygon],1,0,0,0,0,0,0,0,0,https://opensea.io/collection/aiplay,436,74.0,0.003,https://twitter.com/Hypno_doge
240,AJ's Photography,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/ajs-photography,4,1.0,0.08,https://twitter.com/AJ_Curry
243,AKITA INU | OFFICIAL NFT,0,0,0,0,0,0,1,0,0,https://opensea.io/collection/akitastronautothemoon,15,6.0,0.05,https://www.twitter.com/AKITA_network
248,ALAP : THE LOST PIONEERS,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/alap-the-lost-pioneers,1200,524.0,0.163,https://www.twitter.com/alap_pioneers
252,ALCO LENSES,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/alcolenses,37,3.0,0.2,https://twitter.com/ap_belov
260,ALL GOOD THINGS COME IN THREES,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/all-good-things-come-in-threes,18,4.0,0.3,https://www.twitter.com/josh_tep
262,ALL STARS: Trading Card Game,0,0,0,0,0,0,1,0,0,https://opensea.io/collection/allstarscards,22,604.0,0.001,https://twitter.com/allstars_cards
266,ALLENTITTIES,0,0,0,0,0,0,1,0,0,https://opensea.io/collection/allentitties,7,2.0,0.001,https://www.twitter.com/sillybabynft
267,ALPACADABRAZ,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/alpacadabraz,9700,3800.0,1.32,https://www.twitter.com/alpacadabraz
268,ALPGENART Crypto Collage,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/alpgenart,12,652.0,0.001,https://twitter.com/alpgenart
269,ALPHABEATS,0,0,0,1,0,0,0,0,0,https://opensea.io/collection/alphabeats,4,1.0,0.031,https://www.twitter.com/@jleewalls1
276,AMIS CATS,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/amiscats,200,98.0,0.01,https://www.twitter.com/AmisCatsNFT
277,AMONGUS ALL,0,0,0,0,0,0,1,0,0,https://opensea.io/collection/amoungstusall,7,1.0,5.0,https://www.twitter.com/DarkNinja47
278,AMOREAMOREAMORE,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/amore-amore-amore,4,1.0,0.2,https://twitter.com/lemoroz_
279,ANA Couper V2,0,0,0,0,0,0,0,0,1,https://opensea.io/collection/ana-couper,50,2.0,0.03,https://www.twitter.com/ana_couper
281,ANCESTOR LMTD,0,0,0,0,0,0,0,1,0,https://opensea.io/collection/ancestor-lmtd,9,3.0,0.01,https://www.twitter.com/ANCESTORLMTD
282,ANCIENT CARDS,0,0,0,0,0,0,1,0,0,https://opensea.io/collection/ancient-cards-1,230,503.0,0.001,https://twitter.com/sanzvictor
283,ANDROINOMICON,0,0,0,0,0,0,1,0,0,https://opensea.io/collection/androinomicon,9,7.0,0.15,https://www.twitter.com/sirsuhayb
284,ANGEL LEAGUE Factory @ Klaytn,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/angel-league-factory-klaytn,2300,586.0,0.004,https://www.twitter.com/nft_angelleague
285,ANGEL LEAGUE SeoulPunks @ Klaytn,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/angel-league-seoulpunks-klaytn,678,111.0,0.004,https://www.twitter.com/nft_angelleague
289,ANIMA NFT,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/anima-nft,15,10.0,0.006,https://twitter.com/anima_nft?s=20
290,ANIMAL UNIVERSE COLLECTIVE,0,0,0,0,0,0,1,0,0,https://opensea.io/collection/animal-universe-collective,4,3.0,0.006,https://www.twitter.com/gorillanixon
293,ANIME TCG,0,0,0,0,0,0,1,0,0,https://opensea.io/collection/anime-tcg,126,133.0,0.029,https://twitter.com/NFT_ATCG
295,ANOKO,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/anokocl,34,29.0,0.006,https://www.twitter.com/@anokocl
297,ANTlantUS the Found Continent,0,0,0,0,0,0,0,1,0,https://opensea.io/collection/antlantus,21,2.0,0.001,https://twitter.com/antlantus
298,ANUBIS 2021,0,0,0,0,0,0,1,0,0,https://opensea.io/collection/anubis2021,1,1.0,0.05,https://www.twitter.com/weineil_
300,AOI (The Art of Identity),1,0,0,0,0,0,0,0,0,https://opensea.io/collection/aoi-the-art-of-identity,40,345.0,0.005,https://twitter.com/AOI_CARD
301,AOZ_official,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/aoz-official,1600,486.0,0.007,https://www.twitter.com/AoZ_Official
302,APE DAO Legends,0,0,0,0,0,0,1,0,0,https://opensea.io/collection/ape-dao-legends,16,1100.0,0.008,https://twitter.com/ApeDAORemix
303,APE KIDS CARTOON CLUB (AKCC Official),0,1,0,0,0,0,0,0,0,https://opensea.io/collection/akccofficial,342,155.0,0.02,https://twitter.com/ApekidsCC
305,APE TRADERS CLUB,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/-ape-traders-club,12,2.0,0.07,https://www.twitter.com/apetradersnft
307,APES + PUNKS,0,0,0,0,0,0,0,1,0,https://opensea.io/collection/punksandapes,1,9.0,1.0,https://www.twitter.com/punksandapes
308,APES GLORY,0,0,0,0,0,0,1,0,0,https://opensea.io/collection/apes-glory,19,17.0,0.007,https://www.twitter.com/https://twitter.com/FutbolGlory
309,APES GOLD,0,0,0,0,0,0,0,1,0,https://opensea.io/collection/apesgold,2,14.0,2.596,https://www.twitter.com/alig1561
320,AQUA | A Body of Water Abstractions,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/xibbit,13,1.0,0.5,https://twitter.com/_xibbit_
324,AR Land,0,0,0,0,0,0,1,0,0,https://opensea.io/collection/ar-terraform,2,1.0,1.0,https://www.twitter.com/XKatuma
326,ARASINDA DUNYANIN EP Collection,0,0,0,1,0,0,0,0,0,https://opensea.io/collection/arasinda-dunyanin-ep-collection,40,1.0,0.02,https://www.twitter.com/morrierecords
329,ARC TRIPPY PUNKS,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/arc-trippy-punks,65,26.0,0.01,https://www.twitter.com/ARC_Design_Club
330,ARCHIVE 2019 - 2021,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/archive-2019-2021,44,8.0,0.02,https://twitter.com/bosk___
332,AREEB'S DAILY DRAW,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/areeb-s-daily-draw,59,20.0,0.01,https://twitter.com/AreebRasul
336,ARK OF THE SHEPARDS,0,0,0,0,0,0,1,0,0,https://opensea.io/collection/ark-of-the-shepards,1,1.0,0.12,https://www.twitter.com/klasstree
337,ARK on Cryptopunks - Buy and Sell portions of Cryptopunks,0,0,0,0,0,0,0,1,0,https://opensea.io/collection/arkgallery,24,13.0,10.0,https://www.twitter.com/arkgalleryDAO
340,ART AND THE MEME,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/art-and-the-meme,3500,85.0,0.004,https://twitter.com/LuthyJeff
343,ART BY KEEMO,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/artbykeemo,85,30.0,0.05,https://twitter.com/keemo
344,ART CARPET BOMBING,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/art-carpet-bombing,10000,1200.0,0.029,https://twitter.com/ARTCARPETBOMB
348,ART of KLAY_SIMFLOWER #999,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/simflower-klay,87,47.0,0.008,https://twitter.com/simflower_klay
351,ART-IS-HUNGER,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/art-is-hunger02,33,22.0,0.1,https://twitter.com/JaruganOngarch
352,ART2D2,0,0,0,0,0,0,0,0,1,https://opensea.io/collection/art2d2,5,1.0,0.29,https://www.twitter.com/boskokotovich
355,ARTface,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/faceart,4000,1400.0,0.039,https://www.twitter.com/ART__face
356,ARTificial - AI Art by International Megadigital,1,1,0,0,0,0,0,1,0,https://opensea.io/collection/artificial-ai,4400,23.0,0.01,https://www.twitter.com/IntlMegadigital
358,ARTwork'z of myself...*,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/fallothewitrabit-me,7,4.0,0.078,https://www.twitter.com/fallOwItrabIT
360,AS Monaco,0,0,0,0,0,1,0,0,0,https://opensea.io/collection/asmonaco,16,1.0,0.3,https://www.twitter.com/ASMonaco_Basket
363,ASCII Punkz,1,1,0,0,0,0,0,0,0,https://opensea.io/collection/asciipunkz,10,4.0,0.1,https://www.twitter.com/spacepunks_nft
367,ASP_NOT,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/asp-not,15,8.0,0.05,https://www.twitter.com/ASPNOT1
371,ASTRO21,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/astro21club,309,16.0,0.025,https://twitter.com/Astro21club
373,ASTROLIENFT,0,0,0,0,0,0,1,0,0,https://opensea.io/collection/astrolienft,4,1.0,0.001,https://www.twitter.com/tressatriandy
374,ASTROWOMEN,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/astrowomen,8,4.0,0.111,https://twitter.com/milanzrt
375,ASWANG COLLECTION,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/aswang,136,56.0,0.427,https://www.twitter.com/aswangNFT
378,ATAS | Peranakan Miniature,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/atas-peranakan-miniature,10,2.0,0.06,https://twitter.com/ATAS_Artist
381,ATK portraits,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/atk-portrait,10,1.0,0.1,https://twitter.com/SeescapePhoto
395,AV Club,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/av-club,50,8.0,0.079,https://www.twitter.com/VisualizeAud
396,AVA by TeresaMelvin,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/ava-by-teresamelvin,24,17.0,0.375,https://twitter.com/TeresaMelvinart
399,AVAX APES,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/cryptoapematic,426,89.0,0.01,https://www.twitter.com/AvaxApesNFT
402,AVEC: Insignias Metalicas,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/avec-insignias,40,13.0,0.045,https://www.twitter.com/AvenidaCrypto
404,AVJ PUNKS,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/avjskullpunks,564,33.0,0.005,https://twitter.com/AVJ_creations
407,AWOO! Finance Treats,0,0,0,0,0,0,0,1,0,https://opensea.io/collection/awoo-finance-treats,4,208.0,0.01,https://www.twitter.com/awoofinance
412,AXONS,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/axons,33,33.0,2.25,https://www.twitter.com/abwagmi
418,Aavegotchi Collabs,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/aavegotchi-collabs,3,105.0,0.27,https://www.twitter.com/aavegotchi
419,Abandoned Hearts - A Digital Abstract and Surreal Art Series,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/abandonedhearts,208,31.0,0.002,https://twitter.com/thejensenart
420,Abandoned Mall,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/abandoned-mall,9,1.0,0.049,https://twitter.com/NicoPistonne
422,Abandoned Soul in the Woods,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/abandoned-soul-in-the-woods,8,2.0,0.12,https://twitter.com/retina_vision
427,Abstract Balloons Collection,0,0,0,0,0,0,1,0,0,https://opensea.io/collection/abstract-balloons-collection,10,1.0,0.001,https://www.twitter.com/abstractballoon
429,Abstract Chains,0,0,0,0,0,0,0,0,1,https://opensea.io/collection/abstract-chains,24,3.0,0.005,https://www.twitter.com/exee_x
432,Abstract Energy,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/abstract-energy,256,165.0,0.069,https://www.twitter.com/HeveyArt
433,Abstract Expressionist and Impressionist Photography,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/ethereality1,16,1.0,0.38,https://twitter.com/Le_Poulin
436,Abstract Geometrical by Nataly Borich,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/abstract-by-nataly-borich,13,3.0,0.03,https://twitter.com/NatalyBorich
438,Abstract NFTs.,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/abstract-nfts-1,68,11.0,0.01,https://twitter.com/DanOliverTweets
439,Abstract Nature by Albert Dros,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/abstract-nature-albertdros,100,53.0,0.25,https://www.twitter.com/albertdrosphoto
441,Abstract Nouns,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/abstract-nouns,94,58.0,0.05,https://twitter.com/AbstractNouns_
442,Abstract Solar System,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/abstract-solar-system,11,57.0,0.002,https://twitter.com/ArtvisionNFT
443,Abstract Space Art AI,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/abstractspaceart,20,4.0,0.003,https://www.twitter.com/AiProjectNFT
445,Abstract artworks by Schelle Jpeg,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/abstractartworksbyschellejpeg,18,9.0,0.05,https://twitter.com/schelle_NFT
446,Abstract brushstrokes by Schelle Jpeg,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/abstract-brushstrokes,3,2.0,0.025,https://twitter.com/schelle_NFT
450,Abstract people,0,0,0,0,0,0,0,0,1,https://opensea.io/collection/abstractpeople,6,2.0,0.2,https://www.twitter.com/nftperson
453,Abstraction Art Collection,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/abstraction-art-collection,7,2.0,0.05,https://www.twitter.com/ArtBoyTop1
455,Abstracts From a First Year in The Desert,0,0,0,0,1,0,0,0,0,https://opensea.io/collection/abstracts-from-the-desert,15,1.0,0.05,https://www.twitter.com/willsperry6
457,Absurd Arboretum,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/absurdarboretum,2800,950.0,0.025,https://www.twitter.com/absurdarboretum
458,Absurd Arboretum - BONFIRE Festival,0,1,0,0,0,0,0,0,0,https://opensea.io/collection/arbofest,597,288.0,0.02,https://www.twitter.com/absurdarboretum
459,Abu Crypto NFT,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/abu-crypto-nft,2500,461.0,0.01,https://www.twitter.com/abucryptonft
461,Abusamenta_21,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/ciric,21,3.0,0.003,https://www.twitter.com/FrancoisCiric
465,Accessory storage,0,0,0,0,0,0,0,1,0,https://opensea.io/collection/accessory-storage,7,124.0,0.001,https://twitter.com/natsuno_itsumi
471,Achievements NFT,0,0,0,0,0,0,1,0,0,https://opensea.io/collection/achievementsnft,8,1.0,0.5,https://www.twitter.com/egorfdrv
481,Acidgirls,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/acidgirls,62,37.0,0.042,https://twitter.com/acidgirlsnft
482,Acidhatmat - Disorder Collection,1,0,0,0,0,0,0,0,0,https://opensea.io/collection/disordercollection,8,2.0,0.04,https://www.twitter.com/acidhatmat
